"customer_id","avg_amount"
477,"5.0852380952380952"
272,"5.0669230769230769"
187,"5.6196296296296296"
19,"5.4900000000000000"
508,"5.2943478260869565"
181,"5.0809090909090909"
285,"5.1204347826086957"
522,"5.0525000000000000"
259,"5.1566666666666667"
3,"5.4483333333333333"
209,"5.0934482758620690"
293,"5.1328571428571429"
470,"5.0867741935483871"
311,"5.3900000000000000"
321,"5.5194117647058824"
472,"5.0669230769230769"
583,"5.1204347826086957"
310,"5.2976923076923077"
542,"5.3025000000000000"
137,"5.0426315789473684"
